parents,has_nurs,form,children,housing,finance,social,health,Class
usual,proper,complete,A,critical,convenient,problematic,priority,priority
usual,proper,complete,A,critical,convenient,problematic,not_recom,not_recom
usual,proper,complete,A,critical,inconv,nonprob,recommended,very_recom
usual,proper,complete,A,critical,inconv,nonprob,priority,priority
usual,proper,complete,A,critical,inconv,nonprob,not_recom,not_recom
usual,proper,complete,A,critical,inconv,slightly_prob,recommended,very_recom
usual,proper,complete,A,critical,inconv,slightly_prob,priority,priority
usual,proper,complete,A,critical,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,A,critical,inconv,problematic,recommended,priority
usual,proper,complete,A,critical,inconv,problematic,priority,priority
usual,proper,complete,A,critical,inconv,problematic,not_recom,not_recom
usual,proper,complete,B,convenient,convenient,nonprob,recommended,very_recom
usual,proper,complete,B,convenient,convenient,nonprob,priority,priority
usual,proper,complete,B,convenient,convenient,nonprob,not_recom,not_recom
usual,proper,complete,B,convenient,convenient,slightly_prob,recommended,very_recom
usual,proper,complete,B,convenient,convenient,slightly_prob,priority,priority
usual,proper,complete,B,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,B,convenient,convenient,problematic,recommended,priority
usual,proper,complete,B,convenient,convenient,problematic,priority,priority
usual,proper,complete,B,convenient,convenient,problematic,not_recom,not_recom
usual,proper,complete,B,convenient,inconv,nonprob,recommended,very_recom
usual,proper,complete,B,convenient,inconv,nonprob,priority,priority
usual,proper,complete,B,convenient,inconv,nonprob,not_recom,not_recom
usual,proper,complete,B,convenient,inconv,slightly_prob,recommended,very_recom
usual,proper,complete,B,convenient,inconv,slightly_prob,priority,priority
usual,proper,complete,B,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,B,convenient,inconv,problematic,recommended,priority
usual,proper,complete,B,convenient,inconv,problematic,priority,priority
usual,proper,complete,B,convenient,inconv,problematic,not_recom,not_recom
usual,proper,complete,B,less_conv,convenient,nonprob,recommended,very_recom
usual,proper,complete,B,less_conv,convenient,nonprob,priority,priority
usual,proper,complete,B,less_conv,convenient,nonprob,not_recom,not_recom
usual,proper,complete,B,less_conv,convenient,slightly_prob,recommended,very_recom
usual,proper,complete,B,less_conv,convenient,slightly_prob,priority,priority
usual,proper,complete,B,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,B,less_conv,convenient,problematic,recommended,priority
usual,proper,complete,B,less_conv,convenient,problematic,priority,priority
usual,proper,complete,B,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,complete,B,less_conv,inconv,nonprob,recommended,very_recom
usual,proper,complete,B,less_conv,inconv,nonprob,priority,priority
usual,proper,complete,B,less_conv,inconv,nonprob,not_recom,not_recom
usual,proper,complete,B,less_conv,inconv,slightly_prob,recommended,very_recom
usual,proper,complete,B,less_conv,inconv,slightly_prob,priority,priority
usual,proper,complete,B,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,B,less_conv,inconv,problematic,recommended,priority
usual,proper,complete,B,less_conv,inconv,problematic,priority,priority
usual,proper,complete,B,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,complete,B,critical,convenient,nonprob,recommended,priority
usual,proper,complete,B,critical,convenient,nonprob,priority,priority
usual,proper,complete,B,critical,convenient,nonprob,not_recom,not_recom
usual,proper,complete,B,critical,convenient,slightly_prob,recommended,priority
usual,proper,complete,B,critical,convenient,slightly_prob,priority,priority
usual,proper,complete,B,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,B,critical,convenient,problematic,recommended,priority
usual,proper,complete,B,critical,convenient,problematic,priority,priority
usual,proper,complete,B,critical,convenient,problematic,not_recom,not_recom
usual,proper,complete,B,critical,inconv,nonprob,recommended,priority
usual,proper,complete,B,critical,inconv,nonprob,priority,priority
usual,proper,complete,B,critical,inconv,nonprob,not_recom,not_recom
usual,proper,complete,B,critical,inconv,slightly_prob,recommended,priority
usual,proper,complete,B,critical,inconv,slightly_prob,priority,priority
usual,proper,complete,B,critical,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,B,critical,inconv,problematic,recommended,priority
usual,proper,complete,B,critical,inconv,problematic,priority,priority
usual,proper,complete,B,critical,inconv,problematic,not_recom,not_recom
usual,proper,complete,C,convenient,convenient,nonprob,recommended,very_recom
usual,proper,complete,C,convenient,convenient,nonprob,priority,priority
usual,proper,complete,C,convenient,convenient,nonprob,not_recom,not_recom
usual,proper,complete,C,convenient,convenient,slightly_prob,recommended,very_recom
usual,proper,complete,C,convenient,convenient,slightly_prob,priority,priority
usual,proper,complete,C,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,C,convenient,convenient,problematic,recommended,priority
usual,proper,complete,C,convenient,convenient,problematic,priority,priority
usual,proper,complete,C,convenient,convenient,problematic,not_recom,not_recom
usual,proper,complete,C,convenient,inconv,nonprob,recommended,priority
usual,proper,complete,C,convenient,inconv,nonprob,priority,priority
usual,proper,complete,C,convenient,inconv,nonprob,not_recom,not_recom
usual,proper,complete,C,convenient,inconv,slightly_prob,recommended,priority
usual,proper,complete,C,convenient,inconv,slightly_prob,priority,priority
usual,proper,complete,C,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,C,convenient,inconv,problematic,recommended,priority
usual,proper,complete,C,convenient,inconv,problematic,priority,priority
usual,proper,complete,C,convenient,inconv,problematic,not_recom,not_recom
usual,proper,complete,C,less_conv,convenient,nonprob,recommended,priority
usual,proper,complete,C,less_conv,convenient,nonprob,priority,priority
usual,proper,complete,C,less_conv,convenient,nonprob,not_recom,not_recom
usual,proper,complete,C,less_conv,convenient,slightly_prob,recommended,priority
usual,proper,complete,C,less_conv,convenient,slightly_prob,priority,priority
usual,proper,complete,C,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,C,less_conv,convenient,problematic,recommended,priority
usual,proper,complete,C,less_conv,convenient,problematic,priority,priority
usual,proper,complete,C,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,complete,C,less_conv,inconv,nonprob,recommended,priority
usual,proper,complete,C,less_conv,inconv,nonprob,priority,priority
usual,proper,complete,C,less_conv,inconv,nonprob,not_recom,not_recom
usual,proper,complete,C,less_conv,inconv,slightly_prob,recommended,priority
usual,proper,complete,C,less_conv,inconv,slightly_prob,priority,priority
usual,proper,complete,C,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,C,less_conv,inconv,problematic,recommended,priority
usual,proper,complete,C,less_conv,inconv,problematic,priority,priority
usual,proper,complete,C,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,complete,C,critical,convenient,nonprob,recommended,priority
usual,proper,complete,C,critical,convenient,nonprob,priority,priority
usual,proper,complete,C,critical,convenient,nonprob,not_recom,not_recom
usual,proper,complete,C,critical,convenient,slightly_prob,recommended,priority
usual,proper,complete,C,critical,convenient,slightly_prob,priority,priority
usual,proper,complete,C,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,C,critical,convenient,problematic,recommended,priority
usual,proper,complete,C,critical,convenient,problematic,priority,priority
usual,proper,complete,C,critical,convenient,problematic,not_recom,not_recom
usual,proper,complete,C,critical,inconv,nonprob,recommended,priority
usual,proper,complete,C,critical,inconv,nonprob,priority,priority
usual,proper,complete,C,critical,inconv,nonprob,not_recom,not_recom
usual,proper,complete,C,critical,inconv,slightly_prob,recommended,priority
usual,proper,complete,C,critical,inconv,slightly_prob,priority,priority
usual,proper,complete,C,critical,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,C,critical,inconv,problematic,recommended,priority
usual,proper,complete,C,critical,inconv,problematic,priority,priority
usual,proper,complete,C,critical,inconv,problematic,not_recom,not_recom
usual,proper,complete,D,convenient,convenient,nonprob,recommended,very_recom
usual,proper,complete,D,convenient,convenient,nonprob,priority,priority
usual,proper,complete,D,convenient,convenient,nonprob,not_recom,not_recom
usual,proper,complete,D,convenient,convenient,slightly_prob,recommended,very_recom
usual,proper,complete,D,convenient,convenient,slightly_prob,priority,priority
usual,proper,complete,D,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,D,convenient,convenient,problematic,recommended,priority
usual,proper,complete,D,convenient,convenient,problematic,priority,priority
usual,proper,complete,D,convenient,convenient,problematic,not_recom,not_recom
usual,proper,complete,D,convenient,inconv,nonprob,recommended,priority
usual,proper,complete,D,convenient,inconv,nonprob,priority,priority
usual,proper,complete,D,convenient,inconv,nonprob,not_recom,not_recom
usual,proper,complete,D,convenient,inconv,slightly_prob,recommended,priority
usual,proper,complete,D,convenient,inconv,slightly_prob,priority,priority
usual,proper,complete,D,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,D,convenient,inconv,problematic,recommended,priority
usual,proper,complete,D,convenient,inconv,problematic,priority,priority
usual,proper,complete,D,convenient,inconv,problematic,not_recom,not_recom
usual,proper,complete,D,less_conv,convenient,nonprob,recommended,priority
usual,proper,complete,D,less_conv,convenient,nonprob,priority,priority
usual,proper,complete,D,less_conv,convenient,nonprob,not_recom,not_recom
usual,proper,complete,D,less_conv,convenient,slightly_prob,recommended,priority
usual,proper,complete,D,less_conv,convenient,slightly_prob,priority,priority
usual,proper,complete,D,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,D,less_conv,convenient,problematic,recommended,priority
usual,proper,complete,D,less_conv,convenient,problematic,priority,priority
usual,proper,complete,D,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,complete,D,less_conv,inconv,nonprob,recommended,priority
usual,proper,complete,D,less_conv,inconv,nonprob,priority,priority
usual,proper,complete,D,less_conv,inconv,nonprob,not_recom,not_recom
usual,proper,complete,D,less_conv,inconv,slightly_prob,recommended,priority
usual,proper,complete,D,less_conv,inconv,slightly_prob,priority,priority
usual,proper,complete,D,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,D,less_conv,inconv,problematic,recommended,priority
usual,proper,complete,D,less_conv,inconv,problematic,priority,priority
usual,proper,complete,D,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,complete,D,critical,convenient,nonprob,recommended,priority
usual,proper,complete,D,critical,convenient,nonprob,priority,priority
usual,proper,complete,D,critical,convenient,nonprob,not_recom,not_recom
usual,proper,complete,D,critical,convenient,slightly_prob,recommended,priority
usual,proper,complete,D,critical,convenient,slightly_prob,priority,priority
usual,proper,complete,D,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,D,critical,convenient,problematic,recommended,priority
usual,proper,complete,D,critical,convenient,problematic,priority,priority
usual,proper,complete,D,critical,convenient,problematic,not_recom,not_recom
usual,proper,complete,D,critical,inconv,nonprob,recommended,priority
usual,proper,complete,D,critical,inconv,nonprob,priority,priority
usual,proper,complete,D,critical,inconv,nonprob,not_recom,not_recom
usual,proper,complete,D,critical,inconv,slightly_prob,recommended,priority
usual,proper,complete,D,critical,inconv,slightly_prob,priority,priority
usual,proper,complete,D,critical,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,D,critical,inconv,problematic,recommended,priority
usual,proper,complete,D,critical,inconv,problematic,priority,priority
usual,proper,complete,D,critical,inconv,problematic,not_recom,not_recom
usual,proper,completed,A,convenient,convenient,nonprob,recommended,very_recom
usual,proper,completed,A,convenient,convenient,nonprob,priority,priority
usual,proper,completed,A,convenient,convenient,nonprob,not_recom,not_recom
usual,proper,completed,A,convenient,convenient,slightly_prob,recommended,very_recom
usual,proper,completed,A,convenient,convenient,slightly_prob,priority,priority
usual,proper,completed,A,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,A,convenient,convenient,problematic,recommended,priority
usual,proper,completed,A,convenient,convenient,problematic,priority,priority
usual,proper,completed,A,convenient,convenient,problematic,not_recom,not_recom
usual,proper,completed,A,convenient,inconv,nonprob,recommended,very_recom
usual,proper,completed,A,convenient,inconv,nonprob,priority,priority
usual,proper,completed,A,convenient,inconv,nonprob,not_recom,not_recom
usual,proper,completed,A,convenient,inconv,slightly_prob,recommended,very_recom
usual,proper,completed,A,convenient,inconv,slightly_prob,priority,priority
usual,proper,completed,A,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,A,convenient,inconv,problematic,recommended,priority
usual,proper,completed,A,convenient,inconv,problematic,priority,priority
usual,proper,completed,A,convenient,inconv,problematic,not_recom,not_recom
usual,proper,completed,A,less_conv,convenient,nonprob,recommended,very_recom
usual,proper,completed,A,less_conv,convenient,nonprob,priority,priority
usual,proper,completed,A,less_conv,convenient,nonprob,not_recom,not_recom
usual,proper,completed,A,less_conv,convenient,slightly_prob,recommended,very_recom
usual,proper,completed,A,less_conv,convenient,slightly_prob,priority,priority
usual,proper,completed,A,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,A,less_conv,convenient,problematic,recommended,priority
usual,proper,completed,A,less_conv,convenient,problematic,priority,priority
usual,proper,completed,A,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,completed,A,less_conv,inconv,nonprob,recommended,very_recom
usual,proper,completed,A,less_conv,inconv,nonprob,priority,priority
usual,proper,completed,A,less_conv,inconv,nonprob,not_recom,not_recom
usual,proper,completed,A,less_conv,inconv,slightly_prob,recommended,very_recom
usual,proper,completed,A,less_conv,inconv,slightly_prob,priority,priority
usual,proper,completed,A,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,A,less_conv,inconv,problematic,recommended,priority
usual,proper,completed,A,less_conv,inconv,problematic,priority,priority
usual,proper,completed,A,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,completed,A,critical,convenient,nonprob,recommended,priority
usual,proper,completed,A,critical,convenient,nonprob,priority,priority
usual,proper,completed,A,critical,convenient,nonprob,not_recom,not_recom
usual,proper,completed,A,critical,convenient,slightly_prob,recommended,priority
usual,proper,completed,A,critical,convenient,slightly_prob,priority,priority
usual,proper,completed,A,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,A,critical,convenient,problematic,recommended,priority
usual,proper,completed,A,critical,convenient,problematic,priority,priority
usual,proper,completed,A,critical,convenient,problematic,not_recom,not_recom
usual,proper,completed,A,critical,inconv,nonprob,recommended,priority
usual,proper,completed,A,critical,inconv,nonprob,priority,priority
usual,proper,completed,A,critical,inconv,nonprob,not_recom,not_recom
usual,proper,completed,A,critical,inconv,slightly_prob,recommended,priority
usual,proper,completed,A,critical,inconv,slightly_prob,priority,priority
usual,proper,completed,A,critical,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,A,critical,inconv,problematic,recommended,priority
usual,proper,completed,A,critical,inconv,problematic,priority,priority
usual,proper,completed,A,critical,inconv,problematic,not_recom,not_recom
usual,proper,completed,B,convenient,convenient,nonprob,recommended,very_recom
usual,proper,completed,B,convenient,convenient,nonprob,priority,priority
usual,proper,completed,B,convenient,convenient,nonprob,not_recom,not_recom
usual,proper,completed,B,convenient,convenient,slightly_prob,recommended,very_recom
usual,proper,completed,B,convenient,convenient,slightly_prob,priority,priority
usual,proper,completed,B,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,B,convenient,convenient,problematic,recommended,priority
usual,proper,completed,B,convenient,convenient,problematic,priority,priority
usual,proper,completed,B,convenient,convenient,problematic,not_recom,not_recom
usual,proper,completed,B,convenient,inconv,nonprob,recommended,very_recom
usual,proper,completed,B,convenient,inconv,nonprob,priority,priority
usual,proper,completed,B,convenient,inconv,nonprob,not_recom,not_recom
usual,proper,completed,B,convenient,inconv,slightly_prob,recommended,very_recom
usual,proper,completed,B,convenient,inconv,slightly_prob,priority,priority
usual,proper,completed,B,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,B,convenient,inconv,problematic,recommended,priority
usual,proper,completed,B,convenient,inconv,problematic,priority,priority
usual,proper,completed,B,convenient,inconv,problematic,not_recom,not_recom
usual,proper,completed,B,less_conv,convenient,nonprob,recommended,very_recom
usual,proper,completed,B,less_conv,convenient,nonprob,priority,priority
usual,proper,completed,B,less_conv,convenient,nonprob,not_recom,not_recom
usual,proper,completed,B,less_conv,convenient,slightly_prob,recommended,very_recom
usual,proper,completed,B,less_conv,convenient,slightly_prob,priority,priority
usual,proper,completed,B,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,B,less_conv,convenient,problematic,recommended,priority
usual,proper,completed,B,less_conv,convenient,problematic,priority,priority
usual,proper,completed,B,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,completed,B,less_conv,inconv,nonprob,recommended,very_recom
usual,proper,completed,B,less_conv,inconv,nonprob,priority,priority
usual,proper,completed,B,less_conv,inconv,nonprob,not_recom,not_recom
usual,proper,completed,B,less_conv,inconv,slightly_prob,recommended,very_recom
usual,proper,completed,B,less_conv,inconv,slightly_prob,priority,priority
usual,proper,completed,B,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,B,less_conv,inconv,problematic,recommended,priority
usual,proper,completed,B,less_conv,inconv,problematic,priority,priority
usual,proper,completed,B,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,completed,B,critical,convenient,nonprob,recommended,priority
usual,proper,completed,B,critical,convenient,nonprob,priority,priority
usual,proper,completed,B,critical,convenient,nonprob,not_recom,not_recom
usual,proper,completed,B,critical,convenient,slightly_prob,recommended,priority
usual,proper,completed,B,critical,convenient,slightly_prob,priority,priority
usual,proper,completed,B,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,B,critical,convenient,problematic,recommended,priority
usual,proper,completed,B,critical,convenient,problematic,priority,priority
usual,proper,completed,B,critical,convenient,problematic,not_recom,not_recom
usual,proper,completed,B,critical,inconv,nonprob,recommended,priority
usual,proper,completed,B,critical,inconv,nonprob,priority,priority
usual,proper,completed,B,critical,inconv,nonprob,not_recom,not_recom
usual,proper,completed,B,critical,inconv,slightly_prob,recommended,priority
usual,proper,completed,B,critical,inconv,slightly_prob,priority,priority
usual,proper,completed,B,critical,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,B,critical,inconv,problematic,recommended,priority
usual,proper,completed,B,critical,inconv,problematic,priority,priority
usual,proper,completed,B,critical,inconv,problematic,not_recom,not_recom
usual,proper,completed,C,convenient,convenient,nonprob,recommended,very_recom
usual,proper,completed,C,convenient,convenient,nonprob,priority,priority
usual,proper,completed,C,convenient,convenient,nonprob,not_recom,not_recom
usual,proper,completed,C,convenient,convenient,slightly_prob,recommended,very_recom
usual,proper,completed,C,convenient,convenient,slightly_prob,priority,priority
usual,proper,completed,C,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,C,convenient,convenient,problematic,recommended,priority
usual,proper,completed,C,convenient,convenient,problematic,priority,priority
usual,proper,completed,C,convenient,convenient,problematic,not_recom,not_recom
usual,proper,completed,C,convenient,inconv,nonprob,recommended,priority
usual,proper,completed,C,convenient,inconv,nonprob,priority,priority
usual,proper,completed,C,convenient,inconv,nonprob,not_recom,not_recom
usual,proper,completed,C,convenient,inconv,slightly_prob,recommended,priority
usual,proper,completed,C,convenient,inconv,slightly_prob,priority,priority
usual,proper,completed,C,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,C,convenient,inconv,problematic,recommended,priority
usual,proper,completed,C,convenient,inconv,problematic,priority,priority
usual,proper,completed,C,convenient,inconv,problematic,not_recom,not_recom
usual,proper,completed,C,less_conv,convenient,nonprob,recommended,priority
usual,proper,completed,C,less_conv,convenient,nonprob,priority,priority
usual,proper,completed,C,less_conv,convenient,nonprob,not_recom,not_recom
usual,proper,completed,C,less_conv,convenient,slightly_prob,recommended,priority
usual,proper,completed,C,less_conv,convenient,slightly_prob,priority,priority
usual,proper,completed,C,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,C,less_conv,convenient,problematic,recommended,priority
usual,proper,completed,C,less_conv,convenient,problematic,priority,priority
usual,proper,completed,C,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,completed,C,less_conv,inconv,nonprob,recommended,priority
usual,proper,completed,C,less_conv,inconv,nonprob,priority,priority
usual,proper,completed,C,less_conv,inconv,nonprob,not_recom,not_recom
usual,proper,completed,C,less_conv,inconv,slightly_prob,recommended,priority
usual,proper,completed,C,less_conv,inconv,slightly_prob,priority,priority
usual,proper,completed,C,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,C,less_conv,inconv,problematic,recommended,priority
usual,proper,completed,C,less_conv,inconv,problematic,priority,priority
usual,proper,completed,C,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,completed,C,critical,convenient,nonprob,recommended,priority
usual,proper,completed,C,critical,convenient,nonprob,priority,priority
usual,proper,completed,C,critical,convenient,nonprob,not_recom,not_recom
usual,proper,completed,C,critical,convenient,slightly_prob,recommended,priority
usual,proper,completed,C,critical,convenient,slightly_prob,priority,priority
usual,proper,completed,C,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,C,critical,convenient,problematic,recommended,priority
usual,proper,completed,C,critical,convenient,problematic,priority,priority
usual,proper,completed,C,critical,convenient,problematic,not_recom,not_recom
usual,proper,completed,C,critical,inconv,nonprob,recommended,priority
usual,proper,completed,C,critical,inconv,nonprob,priority,priority
usual,proper,completed,C,critical,inconv,nonprob,not_recom,not_recom
usual,proper,completed,C,critical,inconv,slightly_prob,recommended,priority
usual,proper,completed,C,critical,inconv,slightly_prob,priority,priority
usual,proper,completed,C,critical,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,C,critical,inconv,problematic,recommended,priority
usual,proper,completed,C,critical,inconv,problematic,priority,priority
usual,proper,completed,C,critical,inconv,problematic,not_recom,not_recom
usual,proper,completed,D,convenient,convenient,nonprob,recommended,very_recom
usual,proper,completed,D,convenient,convenient,nonprob,priority,priority
usual,proper,completed,D,convenient,convenient,nonprob,not_recom,not_recom
usual,proper,completed,D,convenient,convenient,slightly_prob,recommended,very_recom
usual,proper,completed,D,convenient,convenient,slightly_prob,priority,priority
usual,proper,completed,D,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,D,convenient,convenient,problematic,recommended,priority
usual,proper,completed,D,convenient,convenient,problematic,priority,priority
usual,proper,completed,D,convenient,convenient,problematic,not_recom,not_recom
usual,proper,completed,D,convenient,inconv,nonprob,recommended,priority
usual,proper,completed,D,convenient,inconv,nonprob,priority,priority
usual,proper,completed,D,convenient,inconv,nonprob,not_recom,not_recom
usual,proper,completed,D,convenient,inconv,slightly_prob,recommended,priority
usual,proper,completed,D,convenient,inconv,slightly_prob,priority,priority
usual,proper,completed,D,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,D,convenient,inconv,problematic,recommended,priority
usual,proper,completed,D,convenient,inconv,problematic,priority,priority
usual,proper,completed,D,convenient,inconv,problematic,not_recom,not_recom
usual,proper,completed,D,less_conv,convenient,nonprob,recommended,priority
usual,proper,completed,D,less_conv,convenient,nonprob,priority,priority
usual,proper,completed,D,less_conv,convenient,nonprob,not_recom,not_recom
usual,proper,completed,D,less_conv,convenient,slightly_prob,recommended,priority
usual,proper,completed,D,less_conv,convenient,slightly_prob,priority,priority
usual,proper,completed,D,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,D,less_conv,convenient,problematic,recommended,priority
usual,proper,completed,D,less_conv,convenient,problematic,priority,priority
usual,proper,completed,D,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,completed,D,less_conv,inconv,nonprob,recommended,priority
usual,proper,completed,D,less_conv,inconv,nonprob,priority,priority
usual,proper,completed,D,less_conv,inconv,nonprob,not_recom,not_recom
usual,proper,completed,D,less_conv,inconv,slightly_prob,recommended,priority
usual,proper,completed,D,less_conv,inconv,slightly_prob,priority,priority
usual,proper,completed,D,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,D,less_conv,inconv,problematic,recommended,priority
usual,proper,completed,D,less_conv,inconv,problematic,priority,priority
usual,proper,completed,D,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,completed,D,critical,convenient,nonprob,recommended,priority
usual,proper,completed,D,critical,convenient,nonprob,priority,priority
usual,proper,completed,D,critical,convenient,nonprob,not_recom,not_recom
usual,proper,completed,D,critical,convenient,slightly_prob,recommended,priority
usual,proper,completed,D,critical,convenient,slightly_prob,priority,priority
usual,proper,completed,D,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,completed,D,critical,convenient,problematic,recommended,priority
usual,proper,completed,D,critical,convenient,problematic,priority,priority
usual,proper,completed,D,critical,convenient,problematic,not_recom,not_recom
usual,proper,completed,D,critical,inconv,nonprob,recommended,priority
usual,proper,completed,D,critical,inconv,nonprob,priority,priority
usual,proper,completed,D,critical,inconv,nonprob,not_recom,not_recom
usual,proper,completed,D,critical,inconv,slightly_prob,recommended,priority
usual,proper,completed,D,critical,inconv,slightly_prob,priority,priority
usual,proper,completed,D,critical,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,D,critical,inconv,problematic,recommended,priority
usual,proper,completed,D,critical,inconv,problematic,priority,priority
usual,proper,completed,D,critical,inconv,problematic,not_recom,not_recom
usual,proper,incomplete,A,convenient,convenient,nonprob,recommended,very_recom
